TaxState,County,ShiptoCity,SUM of ItemPlusShipping,SUM of TaxableTotal,SUM of TallyTax,SUM of StateTax,SUM of CountyTax,SUM of CityTax,SUM of SpecialTax
MN,301 Isanti,616 Cambridge,51.90,52,4.09,3.57,0.26,0.26,0.00
,,Stacy,246.52,247,18.19,16.95,1.23,0.00,0.00
,,Stanchfield,97.00,97,7.15,6.67,0.00,0.00,0.49
,301 Isanti Total,,395.42,395,29.43,27.19,1.49,0.26,0.49
,312 Olmsted,Byron,55.65,56,4.10,3.83,0.28,0.00,0.00
,,Eyota,327.20,327,24.13,23.71,0.43,0.00,1.21
,,Rochester,217.00,217,17.64,14.92,1.09,1.63,0.00
,312 Olmsted Total,,599.85,600,45.87,42.45,1.79,1.63,1.21
,316 Rice,Faribault,14.75,15,1.09,1.01,0.07,0.00,0.00
,,Lonsdale,54.95,55,4.05,3.78,0.27,0.00,0.00
,,Northfield,57.95,42,3.09,2.88,0.21,0.00,0.00
,316 Rice Total,,127.65,112,8.23,7.68,0.56,0.00,0.00
,318 Wabasha,LakeCity,115.25,83,6.12,5.70,0.41,0.00,0.00
,,Mazeppa,174.79,175,12.89,12.02,0.87,0.00,0.00
,,Wabasha,60.75,61,4.48,4.48,0.00,0.00,0.30
,,ZumbroFalls,46.75,47,3.45,3.21,0.23,0.00,0.00
,318 Wabasha Total,,397.54,365,26.94,25.42,1.52,0.00,0.30
,322 Freeborn,Hartland,31.75,32,2.34,2.18,0.16,0.00,0.00
,322 Freeborn Total,,31.75,32,2.34,2.18,0.16,0.00,0.00
,324 Otter Tail,628 Perham,55.25,55,4.35,3.80,0.28,0.28,0.00
,,BattleLake,62.00,62,4.57,4.26,0.31,0.00,0.00
,,Fergus,17.50,18,1.29,1.20,0.09,0.00,0.00
,,PelicanRapids,121.00,121,8.92,8.32,0.61,0.00,0.00
,324 Otter Tail Total,,255.75,256,19.13,17.58,1.28,0.28,0.00
,328 St. Louis,320 Duluth,795.43,727,64.49,49.96,3.63,10.90,0.00
,,Angora,189.05,189,13.93,13.00,0.95,0.00,0.00
,,Brimson,99.23,99,7.32,6.82,0.50,0.00,0.00
,,Cook,115.47,115,8.52,7.94,0.58,0.00,0.00
,,Eveleth,16.00,16,1.34,1.10,0.00,0.16,0.08
,,Saginaw,390.55,391,28.80,26.85,1.95,0.00,0.00
,,SideLake,22.00,22,1.62,1.51,0.11,0.00,0.00
,328 St. Louis Total,,1627.73,"1,559",126.02,107.18,7.71,11.06,0.08
,337 Crow Wing,Nisswa,82.35,82,6.07,5.66,0.41,0.00,0.00
,337 Crow Wing Total,,82.35,82,6.07,5.66,0.41,0.00,0.00
,342 Cass,Pillager,213.27,213,15.73,14.66,1.07,0.00,0.00
,342 Cass Total,,213.27,213,15.73,14.66,1.07,0.00,0.00
,366 Kandiyohi,508 Spicer,62.50,63,4.92,4.92,0.00,0.31,0.31
,366 Kandiyohi Total,,62.50,63,4.92,4.92,0.00,0.31,0.31
,371 Chisago,CenterCity,113.05,113,8.34,7.77,0.57,0.00,0.00
,,NorthBranch,119.55,120,8.82,8.22,0.60,0.00,0.00
,,Shafer,203.40,203,15.00,13.98,0.00,0.00,1.02
,371 Chisago Total,,436.00,436,32.16,29.98,1.16,0.00,1.02
