Branch,TaxState,ShiptoCity,ShiptoZip,County,TaxRate,StateRate,CountyRate,CityRate,SpecialRate,TaxableTotal,StateTax,Tax,CountyTax,CityTax,SpecialTax,DateFilled,OrderTotal,ItemTotal,Shipping,TallyTax,ItemPlusShipping
OGS/MT,TX,San Antonio,78232,Bexar,0,0,0,0,0,25.2,0,0,0,0,0,August 2022,0,25.2,0,0,25.2
OGS/MT,VT,Vershire,5079,Orange,0,0.06,0,0,0,22.4,1.344,0,0,0,0,August 2022,0,22.4,0,1.34,22.4
OGS/MT,ME,Cape Elizabeth,4107,Cumberland,0.055,0.055,0,0,0,16.65,0.91575,0.91575,0,0,0,July 2022,0,16.65,0,0.92,0
OGS/MT,ME,Brooks,4921,Waldo,0.055,0.055,0,0,0,20.9,1.1495,1.1495,0,0,0,August 2022,0,20.9,0,1.15,0
OGS/MT,NH,Dover,3820,Strafford,0,0,0,0,0,15,0,0,0,0,0,July 2022,0,15,0,0,0
OGS/MT,MN,SaintBonifacius,55375,430 432 Hennepin,0,0.06875,0.0015,0,0,18,1.2375,0,0.027,0,0,July 2022,0,18,0,1.35,18
OGS/MT,PA,Walnutport,18088,Northampton,0,0.06,0,0,0,25,1.5,0,0,0,0,November 2022,0,25,0,1.5,25
OGS/MT,NY,Hurley,12443,Ulster,0,0.08,0.04,0,0,0,0,0,0,0,0,July 2022,0,1356.25,200,0,1556.25
OGS/MT,VT,Westfield,5874,Orleans,0,0.06,0,0,0,203.05,12.183,0,0,0,0,August 2022,0,193.05,10,12.18,203.05
OGS/MT,AR,Pocahontas,72455,Randolph,0,0,0,0,0,49.5,0,0,0,0,0,July 2022,0,49.5,0,0,49.5
OGS/MT,ME,Bradford,4410,Penobscot,0.055,0.055,0,0,0,8.5,0.4675,0.4675,0,0,0,July 2022,0,8.5,10,0.47,0
OGS/MT,OH,Burton,44021,Geauga,0,0.0675,0.01,0,0,193.55,13.064625,0,1.9355,0,0,September 2022,0,166.25,27.3,13.06,193.55
OGS/MT,ID,Nampa,83651,Canyon,0,0,0,0,0,81,0,0,0,0,0,September 2022,0,81,0,0,0
OGS/MT,ME,Wilton,4294,Franklin,0.055,0.055,0,0,0,150.4,8.272,8.272,0,0,0,September 2022,0,150.4,56,8.27,0
OGS/MT,IN,Berne,46711,Adams,0,0.07,0,0,0,60.8,4.256,0,0,0,0,September 2022,0,42.5,18.3,4.26,60.8
OGS/MT,VT,14 Brattleboro,5301,Windham,0,0.07,0,0.01,0,37.14,2.5998,0,0,0.3714,0,September 2022,0,20.42,16.7,2.6,37.12
OGS/MT,ID,McCall,83638,Valley,0,0,0,0,0,101.65,0,0,0,0,0,September 2022,0,101.65,0,0,0
OGS/MT,NY,Saranac Lake,12983,Franklin,0,0.08,0.04,0,0,57.45,4.596,0,2.298,0,0,September 2022,0,40.75,16.7,4.6,57.45
OGS/MT,RI,Bristol,2809,Bristol,0,0.07,0,0,0,105.6,7.392,0,0,0,0,September 2022,0,83.5,22.1,7.39,105.6
OGS/MT,CA,Sebastopol,95472,Sonoma,0,0,0,0,0,117.75,0,0,0,0,0,November 2022,0,85.75,32,0,0
OGS/MT,WY,New Castle,82701,Weston,0,0.05,0.01,0,0,30,1.5,0,0.3,0,0,October 2022,0,30,0,1.35,0
OGS/MT,WA,Valley,99181,3300 Stevens,0,0.076,0.011,0,0,61.75,4.693,0,0.67925,0,0,October 2022,0,61.75,0,4.69,61.75
OGS/MT,MN,Wayzata,55391,430 432 Hennepin,0,0.07525,0.0015,0,0.005,52,3.913,0,0.078,0,0.26,November 2022,0,33,19,3.91,52
OGS/MT,MA,Hopkinton,1748,Middlesex,0,0.0625,0,0,0,103.4,6.4625,0,0,0,0,November 2022,0,161.44,39,6.46,0
OGS/MT,ME,Wayne,4284,Kennebec,0.055,0.055,0,0,0,113.29,6.23095,6.23095,0,0,0,February 2023,0,113.29,0,6.23,0
OGS/MT,MI,Hesperia,49421,Oceana,0,0.06,0,0,0,162.15,9.729,0,0,0,0,November 2022,0,120.33,41.82,9.73,162.15
OGS/MT,ME,Brooksville,4617,Hancock,0.055,0.055,0,0,0,16.75,0.92125,0.92125,0,0,0,November 2022,0,16.75,0,0.92,0
OGS/MT,MT,Absarokee,59001,Stillwater,0,0,0,0,0,40,0,0,0,0,0,November 2022,0,40,0,0,0
