,Item,Price Lines
0,Akane Apple Tree,$45.95
1,Alexander Apple Tree,$48.95
2,Allington Pippin,$48.95
3,Amberoso Apple Tree,$48.95
4,Amere de Berthcourt,$45.95
5,Ananas Reinette,$48.95
6,Anna Apple Tree,$48.95
7,Antonovka Apple,$48.95
8,Api Etoile Apple Tree,$48.95
9,Arkansas Black Apple,$45.95
10,Arlet Apple Tree,$48.95
11,Ashmead's Kernel,$45.95
12,Atalanta's Gold Tree,$48.95
13,Baldwin Apple Tree,$48.95
14,Belle de Boskoop,$48.95
15,Bethel Apple Tree,$48.95
16,Black Gilliflower,$48.95
17,Black Limbertwig,$48.95
18,Black Oxford Apple,$48.95
19,Black Twig Apple Tree,$48.95
20,Blue Pearmain Apple,$48.95
21,Braeburn Apple Tree,$48.95
22,Bramley Seedling,$48.95
23,Bramtot Apple Tree,$39.95
24,Brock Apple Tree,$48.95
25,Brown Snout Apple Tree,$45.95
26,Brown's Cider Apple,$45.95
27,Bullock Apple Tree,$48.95
28,Burford Red Flesh,$48.95
29,Calville Blanc Apple,$45.95
30,Calville Rouge Apple,$48.95
31,Campfield Apple Tree,$45.95
32,Chisel Jersey Apple,$48.95
33,Christmas Pink Apple,$48.95
34,Cinnamon Spice,$45.95
35,Claygate Pearmain,$48.95
36,Cornish Gilliflower,$48.95
37,Cortland Apple Tree,$48.95
38,Court Pendu Plat,$48.95
39,Cox Orange Pippin,$45.95
40,Crimson Gold Apple,$48.95
41,Crown Prince Rudolph,$48.95
42,D'Arcy Spice Apple,$48.95
43,Dabinett Apple Tree,$48.95
44,Davenport Russet,$48.95
45,Deaderick Apple Tree,$48.95
46,Dolgo Crab Apple,$48.95
47,Dorsett Golden,$48.95
48,Duchess of Oldenburg,$48.95
49,Eden Apple Tree,$48.95
50,Egremont Russet,$48.95
51,Ellis Bitter Apple Tree,$45.95
52,Elstar Apple Tree,$48.95
53,Empire Apple Tree,$45.95
54,Ernst Bosch Apple,$48.95
55,Fearns Pippin Apple,$48.95
56,Fireside Apple Tree,$45.95
57,Foxwhelp Apple Tree,$45.95
58,Frauen Rotacher,$48.95
59,Freedom Apple Tree,$45.95
60,Fuji Apple Tree,$45.95
61,Gala Apple Tree,$45.95
62,Gilbert Gold Apple,$48.95
63,Glockenapfel Apple,$45.95
64,Golden Delicious,$45.95
65,Golden Noble Apple,$48.95
66,Golden Nugget Apple,$48.95
67,Golden Pearmain,$48.95
68,Golden Reinette,$48.95
69,Golden Russet Apple,$45.95
70,Goldrush Apple Tree,$45.95
71,Granniwinkle Apple Tree,$48.95
72,Granny Smith Apple,$45.95
73,Gravenstein Apple,$45.95
74,Grenadine Apple Tree,$48.95
75,Grimes Golden,$45.95
76,Hanners Best Apple,$45.95
77,Harrison Apple Tree,$48.95
78,Harry Masters Jersey,$45.95
79,Hauer Pippin Apple,$45.95
80,Hawaii Apple Tree,$45.95
81,Hawkeye Apple Tree,$45.95
82,Hewes Virginia Crab,$45.95
83,Holiday Apple Tree,$48.95
84,Holstein Apple Tree,$45.95
85,Honeycrisp Apple,$45.95
86,Hooples Antique Gold,$45.95
87,Hudson's Golden Gem,$48.95
88,Hunt Russet Apple,$45.95
89,Idared Apple Tree,$48.95
90,Ingrid Marie Apple,$48.95
91,Jade Apple Tree,$48.95
92,James Grieve Apple,$48.95
93,Jefferis Apple Tree,$48.95
94,Jonagold Apple Tree,$45.95
95,Jonathan Apple Tree,$45.95
96,Kandil Sinap,$48.95
97,Karmijin de Sonnaville,$48.95
98,Katharine Apple Tree,$48.95
99,Kerry Irish Pippin,$48.95
100,Kidd's Orange Red,$45.95
101,King David Apple,$45.95
102,King of the Pippins,$45.95
103,King of Tompkins,$48.95
104,Kingston Black Apple,$45.95
105,Knobbed Russet Apple,$45.95
106,Lady Apple Tree,$45.95
107,Lady Williams Apple,$48.95
108,Lamb Abbey Pearmain,$45.95
109,Laxtons Fortune,$48.95
110,Liberty Apple Tree,$45.95
111,Macoun Apple Tree,$48.95
112,Magnum Bonum,$48.95
113,Maiden Blush Apple,$48.95
114,Maigold Apple Tree,$48.95
115,Mcintosh Apple Tree,$45.95
116,Melrose Apple Tree,$45.95
117,Mendocino Cox Apple,$48.95
118,Mettais Apple Tree,$48.95
119,Michelin Apple Tree,$48.95
120,Monark Apple Tree,$48.95
121,Morgan Apple Tree,$48.95
122,Morgenduft Apple Tree,$48.95
123,Mother Apple Tree,$48.95
124,Mountain Rose,$45.95
125,Mountaineer Apple Tree,$48.95
126,Muscat de Bernay,$48.95
127,Muscat de Venus,$48.95
128,Mutsu Apple Tree,$45.95
129,Myers Royal Limbertwig,$45.95
130,Nehou Apple Tree,$45.95
131,Newtown Pippin Apple,$45.95
132,Nickajack Apple,$48.95
133,Niedwetzkyana Apple,$48.95
134,Nodhead Apple Tree,$45.95
135,Nonsuch Apple Tree,$45.95
136,Northern Spy Apple Tree,$48.95
137,Opalescent Apple Tree,$45.95
138,Orenco Apple Tree,$48.95
139,Orleans Reinette Apple,$45.95
140,Ozark Gold Apple,$48.95
141,Pettingill Apple,$48.95
142,Pink Lady Apple,$45.95
143,Pink Parfait Apple,$48.95
144,Pink Pearl Apple,$45.95
145,Pink Princess Apple,$48.95
146,Pink Sparkle Apple,$45.95
147,Pitmaston Pineapple,$48.95
148,Porters Perfection,$45.95
149,Ramsdell Sweet Apple,$48.95
150,Razor Russet Apple,$48.95
151,Red Astrachan Apple,$45.95
152,Red Berlepsch Apple,$48.95
153,Red Devil Apple,$48.95
154,Red Gravenstein (red sport),$45.95
155,Red June Apple,$48.95
156,Red October,$45.95
157,Red Vein Crabapple,$45.95
158,Red Winter Pearmain,$48.95
159,Redfield Apple Tree,$48.95
160,Redstreak Apple Tree,$45.95
161,Reinette du Canada,$48.95
162,Rhode Island Greening,$45.95
163,Ribston Pippin,$45.95
164,Rome Beauty,$48.95
165,Roxbury Russet,$45.95
166,Rubaiyat Apple Tree,$48.95
167,Rubinette Apple,$48.95
168,Saint Cecilia Apple,$45.95
169,Siberian Crabapple,$45.95
170,Sierra Beauty Apple,$45.95
171,Skinner's Seedling,$48.95
172,Smokehouse Apple,$45.95
173,Snow Fameuse Apple,$45.95
174,Snowdrift Crabapple,$48.95
175,Sops-n-Wine,$48.95
176,Spigold,$45.95
177,Spitzenburg Apple,$45.95
178,Splendour Apple,$48.95
179,Spokane Beauty Apple,$48.95
180,St. Edmunds Pippin,$48.95
181,Starkey Apple,$48.95
182,Starking Delicious Apple,$48.95
183,Stayman Winesap Apple,$45.95
184,Stearns Apple Tree,$48.95
185,Strawberry Parfait Apple,$45.95
186,Summer Rambo Apple,$45.95
187,Summer Rose Apple,$48.95
188,Suntan Apple Tree,$45.95
189,Surprise Apple Tree,$48.95
190,Swaar Apple Tree,$48.95
191,Sweet Bough Apple,$48.95
192,Sweet Delicious,$48.95
193,Sweet Sixteen (Sweet 16),$48.95
194,Tolman Sweet,$45.95
195,Transcendent Crabapple,$45.95
196,Tremblett's Bitter Apple,$45.95
197,Twenty Ounce Apple,$45.95
198,Tydemans Late Orange,$45.95
199,Victoria Limbertwig,$45.95
200,Vixen Apple Tree,$48.95
201,Wagener Apple Tree,$48.95
202,Waltana Apple Tree,$48.95
203,Wealthy Apple Tree,$45.95
204,Westfield Seek-no-Further,$48.95
205,White Limbertwig,$45.95
206,White Pearmain Apple,$45.95
207,White Transparent,$45.95
208,Whitney Crabapple,$45.95
209,Wickson Apple Tree,$45.95
210,Winekist apple Tree,$45.95
211,Winesap Apple Tree,$45.95
212,Winter Banana Apple,$48.95
213,Winterstein Apple,$48.95
214,Wolf River Apple,$48.95
215,Yarlington Mill Apple,$45.95
