,Item,Price Lines
0,Akane Apple Tree,$45.95
1,Alexander Apple Tree,$48.95
2,Allington Pippin,$48.95
3,Amberoso Apple Tree,$48.95
4,Amere de Berthcourt,$45.95
5,Ananas Reinette,$48.95
6,Anna Apple Tree,$48.95
7,Antonovka Apple,$48.95
8,Api Etoile Apple Tree,$48.95
9,Arkansas Black Apple,$45.95
10,Arlet Apple Tree,$48.95
11,Ashmead's Kernel,$45.95
12,Atalanta's Gold Tree,$48.95
13,Baldwin Apple Tree,$48.95
14,Belle de Boskoop,$48.95
15,Bethel Apple Tree,$48.95
16,Black Gilliflower,$48.95
17,Black Limbertwig,$48.95
18,Black Oxford Apple,$48.95
19,Black Twig Apple Tree,$48.95
20,Blue Pearmain Apple,$48.95
21,Braeburn Apple Tree,$48.95
22,Bramley Seedling,$48.95
23,Bramtot Apple Tree,$39.95
24,Brock Apple Tree,$48.95
25,Brown Snout Apple Tree,$45.95
26,Brown's Cider Apple,$45.95
27,Bullock Apple Tree,$48.95
28,Burford Red Flesh,$48.95
29,Calville Blanc Apple,$45.95
30,Calville Rouge Apple,$48.95
31,Campfield Apple Tree,$45.95
32,Chisel Jersey Apple,$48.95
33,Christmas Pink Apple,$48.95
34,Cinnamon Spice,$45.95
35,Claygate Pearmain,$48.95
36,Moorpark Apricot,$48.95
37,Blenheim Apricot,$48.95
38,Harcot Apricot,$48.95
39,Goldkist Apricot,$48.95
40,Tilton Apricot,$48.95
41,Puget Gold Apricot,$48.95
42,White Ume Apricot,$48.95
43,Shaa-Kar-Pareeh,$48.95
44,Pink Ume Apricot,$48.95
45,Moorpark Apricot (1-year),$29.95
46,Chandler Blueberry,$16.95
47,Elliot Blueberry,$16.95
48,Jersey Blueberry,$16.95
49,Jubilee Blueberry,$16.95
50,O'Neal Blueberry,$16.95
51,Reka Blueberry,$16.95
52,Sunshine Blueberry,$16.95
53,Black Republican Cherry,$45.95
54,Rainier Cherry,$45.95
55,Lapins Cherry Tree,$45.95
56,Black Tartarian,$42.95
57,Stella Cherry,$42.95
58,Montmorency Sour Cherry,$42.95
59,Bing Cherry Tree,$45.95
60,English Morello Cherry,$42.95
61,Napoleon Cherry,$42.95
62,Van Cherry,$42.95
63,Skeena Cherry,$42.95
64,Kansas Sweet Cherry,$42.95
65,Black Pearl Cherry,$45.95
66,Utah Giant Cherry,$42.95
67,Stella Cherry (1-year),$35.95
68,English Morello Cherry (1-year),$39.95
69,Black Tartarian (1-year),$29.95
70,Rainier Cherry (1-year),$35.95
71,Black Mission Fig,$39.95
72,Violette de Bordeaux Fig,$39.95
73,Brown Turkey Fig,$39.95
74,Peter's Honey Fig,$39.95
75,Black Jack Fig,$39.95
76,White Genoa Fig,$39.95
77,Verte Fig Tree,$44.95
78,White Kadota Fig,$39.95
79,Texas Everbearing Fig,$39.95
80,Conadria Fig,$39.95
81,Panache Fig,$39.95
82,Osborne Prolific Fig,$39.95
83,Flanders Fig,$39.95
84,Vanessa Grape,$32.95
85,Concord Grape (single grape vine),$39.95
86,Canadice Grape (single grape vine),$32.95
87,Glenora Grape (single grape vine),$32.95
88,Lakemont Grape (single grape vine),$32.95
89,Vanessa Grape (single grape vine),$32.95
90,Interlaken Grape (single grape vine),$32.95
91,Ga-866 Jujube,$56.95
92,Shanxi Jujube,$56.95
93,Li Jujube,$56.95
94,Lang Jujube,$56.95
95,Sugarcane Jujube,$56.95
96,Peregrine Peach (1-year),$29.95
97,Redhaven Peach (1-year),$29.95
98,Moorpark Apricot (1-year),$29.95
99,O'Henry Peach (1-year),$29.95
100,George IV Peach (1-year),$29.95
101,Stella Cherry (1-year),$35.95
102,English Morello Cherry (1-year),$39.95
103,French Plum (1-year),$29.95
104,Black Tartarian (1-year),$29.95
105,Rainier Cherry (1-year),$35.95
106,Goldmine Nectarine (1-year),$29.95
107,Black Pakistan Mulberry,$44.95
108,Lavender Mulberry,$49.95
109,Black Mulberry Bush,$44.95
110,White Persian Mulberry,$49.95
111,White Mulberry,$49.95
112,"Pakistan ""White"" Mulberry",$49.95
113,Snow Queen Nectarine,$42.95
114,Goldmine Nectarine,$42.95
115,Fantasia Nectarine,$42.95
116,Liz's Late Nectarine,$42.95
117,Arctic Queen Nectarine,$42.95
118,Independence Nectarine,$42.95
119,Panamint Nectarine,$42.95
120,Goldmine Nectarine (1-year),$29.95
121,Hazelnut Filbert Jefferson,$48.95
122,Hazelnut Filbert Eta,$48.95
123,Chandler Walnut,$49.95
124,Pedro Walnut,$49.95
125,Carpathian Walnut,$49.95
126,All-In-One Almond,$48.95
127,Ne Plus Almond,$48.95
128,Garden Prince Almond,$48.95
129,Franquette Walnut,$49.95
130,Cookes Giant Sweet Walnut,$49.95
131,Hartley Walnut,$49.95
132,Monterey Almond,$48.95
133,Robert Livermore Walnut,$59.95
134,Redhaven Peach,$42.95
135,O'Henry Peach,$42.95
136,Polly White Peach,$42.95
137,Silver Logan Peach,$42.95
138,Rio Oso Gem Peach,$42.95
139,George IV Peach,$42.95
140,Peregrine Peach,$42.95
141,Indian Blood Peach,$42.95
142,Suncrest Peach,$42.95
143,Fay Elberta Peach,$42.95
144,Peentau Peach,$42.95
145,Nectar Peach,$42.95
146,Baby Crawford Peach,$42.95
147,Babcock Peach,$42.95
148,Belle of Georgia Peach,$42.95
149,Frost Peach,$42.95
150,J.H. Hale Peach,$42.95
151,Dixon Clingstone Peach,$42.95
152,Peregrine Peach (1-year),$29.95
153,Redhaven Peach (1-year),$29.95
154,O'Henry Peach (1-year),$29.95
155,George IV Peach (1-year),$29.95
156,White Lady Peach,$42.95
157,Abate Fetel Pear,$48.95
158,Atago Pear Tree,$42.95
159,B.P. Moretini Pear Tree,$42.95
160,Bartlett Pear Tree,$42.95
161,Belle Lucrative Pear,$48.95
162,Beurre Hardy Pear,$48.95
163,Bosc Pear Tree,$42.95
164,Comice Pear Tree,$42.95
165,Conference Pear,$48.95
166,Corsica Pear Tree,$48.95
167,D' Anjou Pear Tree,$42.95
168,Duchesse d'Angouleme,$48.95
169,Duchesse d'Bronzee,$48.95
170,Forelle Pear,$42.95
171,Hendre Huffcap Pear,$48.95
172,Highland Pear,$48.95
173,Hosui Pear Tree,$42.95
174,Kieffer Pear,$42.95
175,Louise Bonne d'Jersey,$48.95
176,Magness Pear Tree,$42.95
177,Nijiseiki Pear Tree,$42.95
178,Packham's Triumph Pear,$48.95
179,Red Bartlett Pear Tree,$42.95
180,Red Clapp's Favorite,$42.95
181,Red d'Anjou Pear,$42.95
182,Seckel Pear Tree,$42.95
183,Shinko Pear Tree,$42.95
184,Shinseiki Pear Tree,$42.95
185,Tsu Li Pear Tree,$42.95
186,Warren Pear,$45.95
187,White Doyenne Pear,$48.95
188,Winter Nelis Pear Tree,$42.95
189,Ya Li Pear Tree,$42.95
190,Fuyu Persimmon,$56.95
191,Nikitskaya Bordovaya,$56.95
192,Saijo Persimmon,$56.95
193,Hachiya Persimmon,$56.95
194,Imoto Persimmon,$56.95
195,Giant Fuyu Persimmon,$56.95
196,Honan Red Persimmon,$56.95
197,Chocolate Persimmon,$56.95
198,Izu Persimmon,$56.95
199,Tamopan Persimmon,$56.95
200,Santa Rosa Plum,$48.95
201,French Plum,$48.95
202,Reine Claude Doree,$48.95
203,Mirabelle Plum,$48.95
204,Satsuma Plum,$48.95
205,Bavays Green Gage Plum,$48.95
206,Italian Plum,$48.95
207,Blue Damson Plum,$48.95
208,Jefferson Plum,$48.95
209,Coes Golden Drop,$48.95
210,Mariposa Plum,$48.95
211,Stanley Plum,$48.95
212,Elephant Heart Plum,$48.95
213,Golden Nectar Plum,$42.95
214,Oullins Plum,$48.95
215,Weeping Santa Rosa Plum,$48.95
216,Shiro Plum,$48.95
217,Inca Plum,$48.95
218,Early Laxton Plum,$48.95
219,Imperial Prune Plum,$39.95
